edge_type,src_id,src_name,dst_id,dst_name,src_group,dst_group,same_group,relationship,status,amount_wan,prior_actual_wan,category_text,period,issuer_id,announcement_date,source_doc,source_page,evidence_text,src_matched_by,dst_matched_by,src_scope,dst_scope
guarantee,600507,方大特钢科技股份有限公司,N_江西方大特钢汽车悬架集团有限公司,江西方大特钢汽车悬架集团有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,3600.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"1
悬架集团
兴业银行股份有限公司南昌分行
3,600.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_济南方大重弹汽车悬架有限公司,济南方大重弹汽车悬架有限公司,G_FANGDA,G_FANGDA,1,controlled_subsidiary,guarantee_limit,1000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"2
济南重弹
北京银行股份有限公司济南分行
1,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_济南方大重弹汽车悬架有限公司,济南方大重弹汽车悬架有限公司,G_FANGDA,G_FANGDA,1,controlled_subsidiary,guarantee_limit,3000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"3
济南重弹
中国光大银行股份有限公司济南分行
3,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_济南方大重弹汽车悬架有限公司,济南方大重弹汽车悬架有限公司,G_FANGDA,G_FANGDA,1,controlled_subsidiary,guarantee_limit,2000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"4
济南重弹
招商银行股份有限公司济南分行
2,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_江西方大长力汽车零部件有限公司,江西方大长力汽车零部件有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,3000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"5
方大长力
招商银行股份有限公司南昌分行
3,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_江西方大长力汽车零部件有限公司,江西方大长力汽车零部件有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,10000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"6
方大长力
兴业银行股份有限公司南昌分行
10,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_江西方大长力汽车零部件有限公司,江西方大长力汽车零部件有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,10000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"7
方大长力
中信银行股份有限公司南昌分行
10,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_重庆红岩方大汽车悬架有限公司,重庆红岩方大汽车悬架有限公司,G_FANGDA,G_FANGDA,1,controlled_subsidiary,guarantee_limit,5000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"8
重庆红岩
重庆银行股份有限公司渝北支行
5,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_重庆红岩方大汽车悬架有限公司,重庆红岩方大汽车悬架有限公司,G_FANGDA,G_FANGDA,1,controlled_subsidiary,guarantee_limit,7000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"9
重庆红岩
重庆机电控股集团财务有限公司
7,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_江西方大长力汽车零部件有限公司,江西方大长力汽车零部件有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,4800.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"10
方大长力
广发银行股份有限公司南昌分行
4,800.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_江西方大特钢汽车悬架集团有限公司,江西方大特钢汽车悬架集团有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,4800.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"11
悬架集团
广发银行股份有限公司南昌分行
4,800.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_宁波方大海鸥贸易有限公司,宁波方大海鸥贸易有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,15000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"12
宁波海鸥
中国光大银行股份有限公司南昌分行
15,000.00",exact,group_token,self,self
guarantee,600507,方大特钢科技股份有限公司,N_南昌长力二次资源销售有限公司,南昌长力二次资源销售有限公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,1000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"13
长力二次资源
中国银行股份有限公司南昌市青云谱支行
1,000.00",exact,relationship,self,self
guarantee,600507,方大特钢科技股份有限公司,N_本溪满族自治县同达铁选有限责任公司,本溪满族自治县同达铁选有限责任公司,G_FANGDA,G_FANGDA,1,wholly_owned_subsidiary,guarantee_limit,5000.0,,joint_and_several,2024-08-30,600507,2024-08-30,data/gold/guarantee_dev/guarantee_001_600507_guarantee_multi_subsidiary.json,2,"14
同达铁选
中国民生银行股份有限公司沈阳分行
5,000.00",exact,relationship,self,self
guarantee,600408,山西安泰集团股份有限公司,E_XINTAI,山西新泰钢铁有限公司,G_ANTAI,G_ANTAI,1,sister_company,guarantee_limit,40650.0,,joint_and_several,2025-06-06,600408,2025-06-06,data/gold/guarantee_dev/guarantee_002_600408_guarantee_related_party.json,2,"40,650.00   2025-08-07   40,650.00",exact,exact,self,self
guarantee,600408,山西安泰集团股份有限公司,E_XINTAI,山西新泰钢铁有限公司,G_ANTAI,G_ANTAI,1,sister_company,guarantee_limit,19350.0,,joint_and_several,2025-06-06,600408,2025-06-06,data/gold/guarantee_dev/guarantee_002_600408_guarantee_related_party.json,2,"19,350.00   2025-11-04   19,350.00",exact,exact,self,self
guarantee,600408,山西安泰集团股份有限公司,E_XINTAI,山西新泰钢铁有限公司,G_ANTAI,G_ANTAI,1,sister_company,guarantee_limit,5750.0,,joint_and_several,2025-06-06,600408,2025-06-06,data/gold/guarantee_dev/guarantee_002_600408_guarantee_related_party.json,2,"6,400.00   2025-12-20    5,750.00",exact,exact,self,self
guarantee,600408,山西安泰集团股份有限公司,E_XINTAI,山西新泰钢铁有限公司,G_ANTAI,G_ANTAI,1,sister_company,guarantee_limit,16820.0,,joint_and_several,2025-06-06,600408,2025-06-06,data/gold/guarantee_dev/guarantee_002_600408_guarantee_related_party.json,2,"16,817.25   2029-06-20   16,820.00",exact,exact,self,self
guarantee,E_TJ_PIPE,天津钢管制造有限公司,E_TJ_PIPE_TRADE,天津钢管国际经济贸易有限公司,G_CITIC,G_CITIC,1,wholly_owned_subsidiary,guarantee_provided,22900.0,,joint_and_several,2025-06-26,000708,2025-06-26,data/gold/guarantee_dev/guarantee_003_000708_guarantee_intra_group.json,1,"天管国贸在中国银行股份有限公司天津东丽支行（以下简称“中国
银行”）申请 2.29 亿元人民币的授信额度，由天津钢管提供连带责任保
证担保",exact,exact,self,self
guarantee,600282,南京钢铁股份有限公司,N_PT.KinXiangNewEnergyTechnologiesIndonesia,PT. KinXiang New Energy Technologies Indonesia,G_CITIC,G_CITIC,1,controlled_subsidiary,guarantee_provided,,,joint_and_several,2026-05-07,600282,2026-05-07,data/gold/guarantee_dev/guarantee_004_600282_guarantee_progress_foreign_currency.json,3,"1、银行：交通银行股份有限公司江苏省分行
2、担保方式：连带责任保证
3、担保的主债权本金余额最高额：1,590万美元",exact,relationship,self,self
guarantee,000932,湖南华菱钢铁股份有限公司,E_XIANGGANG,湖南华菱湘潭钢铁有限公司,G_HUNAN,G_HUNAN,1,wholly_owned_subsidiary,guarantee_limit,653900.0,,,2026-03-30,000932,2026-03-30,data/gold/guarantee_test/guarantee_test_001_000932_annual_limit.json,2,湖南华菱湘潭钢铁有限公司 65.39,exact,exact,self,self
guarantee,000932,湖南华菱钢铁股份有限公司,E_LIANGANG,湖南华菱涟源钢铁有限公司,G_HUNAN,G_HUNAN,1,wholly_owned_subsidiary,guarantee_limit,996000.0,,,2026-03-30,000932,2026-03-30,data/gold/guarantee_test/guarantee_test_001_000932_annual_limit.json,2,湖南华菱涟源钢铁有限公司 99.6,exact,exact,self,self
guarantee,000932,湖南华菱钢铁股份有限公司,E_HENGGANG,衡阳华菱钢管有限公司,G_HUNAN,G_HUNAN,1,controlled_subsidiary,guarantee_limit,529600.0,,,2026-03-30,000932,2026-03-30,data/gold/guarantee_test/guarantee_test_001_000932_annual_limit.json,2,衡阳华菱钢管有限公司 52.96,exact,exact,self,self
guarantee,000932,湖南华菱钢铁股份有限公司,E_HENGGANG_ROLL,衡阳华菱连轧管有限公司,G_HUNAN,G_HUNAN,1,controlled_subsidiary,guarantee_limit,48400.0,,,2026-03-30,000932,2026-03-30,data/gold/guarantee_test/guarantee_test_001_000932_annual_limit.json,2,衡阳华菱连轧管有限公司 4.84,exact,exact,self,self
guarantee,002110,福建三钢闽光股份有限公司,E_QUANZHOU_MG,福建泉州闽光钢铁有限责任公司,G_FJYJ,G_FJYJ,1,wholly_owned_subsidiary,guarantee_limit,250000.0,,joint_and_several,2025-12-30,002110,2025-12-30,data/gold/guarantee_test/guarantee_test_002_002110_annual_limit.json,1,"福建泉州闽光钢铁有限责任公司 250,000",exact,exact,self,self
guarantee,002110,福建三钢闽光股份有限公司,E_LUOYUAN_MG,福建罗源闽光钢铁有限责任公司,G_FJYJ,G_FJYJ,1,wholly_owned_subsidiary,guarantee_limit,300000.0,,joint_and_several,2025-12-30,002110,2025-12-30,data/gold/guarantee_test/guarantee_test_002_002110_annual_limit.json,1,"福建罗源闽光钢铁有限责任公司 300,000",exact,exact,self,self
